Date,Open,High,Low,Close*,Adj Close**,Volume
3-Jan-17,"2,251.57","2,263.88","2,245.13","2,257.83","2,257.83","3,773,010,000"
4-Jan-17,"2,261.60","2,272.82","2,261.60","2,270.75","2,270.75","3,768,890,000"
5-Jan-17,"2,268.18","2,271.50","2,260.45","2,269.00","2,269.00","3,785,080,000"
6-Jan-17,"2,271.14","2,282.10","2,264.06","2,276.98","2,276.98","3,342,080,000"
9-Jan-17,"2,273.59","2,275.49","2,268.90","2,268.90","2,268.90","3,219,730,000"
10-Jan-17,"2,269.72","2,279.27","2,265.27","2,268.90","2,268.90","3,640,560,000"
11-Jan-17,"2,268.60","2,275.32","2,260.83","2,275.32","2,275.32","3,625,080,000"
12-Jan-17,"2,271.14","2,271.78","2,254.25","2,270.44","2,270.44","3,466,220,000"
13-Jan-17,"2,272.74","2,278.68","2,271.51","2,274.64","2,274.64","3,090,680,000"
17-Jan-17,"2,269.14","2,272.08","2,262.81","2,267.89","2,267.89","3,586,950,000"
18-Jan-17,"2,269.14","2,272.01","2,263.35","2,271.89","2,271.89","3,317,670,000"
19-Jan-17,"2,271.90","2,274.33","2,258.41","2,263.69","2,263.69","3,168,390,000"
20-Jan-17,"2,269.96","2,276.96","2,265.01","2,271.31","2,271.31","3,536,850,000"
23-Jan-17,"2,267.78","2,271.78","2,257.02","2,265.20","2,265.20","3,155,240,000"
24-Jan-17,"2,267.88","2,284.63","2,266.68","2,280.07","2,280.07","3,816,950,000"
25-Jan-17,"2,288.88","2,299.55","2,288.88","2,298.37","2,298.37","3,849,340,000"
26-Jan-17,"2,298.63","2,300.99","2,294.08","2,296.68","2,296.68","3,611,510,000"
27-Jan-17,"2,299.02","2,299.02","2,291.62","2,294.69","2,294.69","3,137,420,000"
30-Jan-17,"2,286.01","2,286.01","2,268.04","2,280.90","2,280.90","3,595,040,000"
31-Jan-17,"2,274.02","2,279.09","2,267.21","2,278.87","2,278.87","4,089,730,000"
1-Feb-17,"2,285.59","2,289.14","2,272.44","2,279.55","2,279.55","3,919,190,000"
2-Feb-17,"2,276.69","2,283.97","2,271.65","2,280.85","2,280.85","3,809,760,000"
3-Feb-17,"2,288.54","2,298.31","2,287.88","2,297.42","2,297.42","3,605,970,000"
6-Feb-17,"2,294.28","2,296.18","2,288.57","2,292.56","2,292.56","3,112,390,000"
7-Feb-17,"2,295.87","2,299.40","2,290.16","2,293.08","2,293.08","3,452,460,000"
8-Feb-17,"2,289.55","2,295.91","2,285.38","2,294.67","2,294.67","3,611,950,000"
9-Feb-17,"2,296.70","2,311.08","2,296.61","2,307.87","2,307.87","3,681,600,000"
10-Feb-17,"2,312.27","2,319.23","2,311.10","2,316.10","2,316.10","3,496,600,000"
13-Feb-17,"2,321.72","2,331.58","2,321.42","2,328.25","2,328.25","3,352,370,000"
14-Feb-17,"2,326.12","2,337.58","2,322.17","2,337.58","2,337.58","3,528,040,000"
15-Feb-17,"2,335.58","2,351.30","2,334.81","2,349.25","2,349.25","3,785,870,000"
16-Feb-17,"2,349.64","2,351.31","2,338.87","2,347.22","2,347.22","3,675,900,000"
17-Feb-17,"2,343.01","2,351.16","2,339.58","2,351.16","2,351.16","3,516,830,000"
21-Feb-17,"2,354.91","2,366.71","2,354.91","2,365.38","2,365.38","3,587,520,000"
22-Feb-17,"2,361.11","2,365.13","2,358.34","2,362.82","2,362.82","3,473,170,000"
23-Feb-17,"2,367.50","2,368.26","2,355.09","2,363.81","2,363.81","4,021,770,000"
24-Feb-17,"2,355.73","2,367.34","2,352.87","2,367.34","2,367.34","3,832,410,000"
